id,sex,side,fluxo,cc,cp,ap,p,tempo ,segundos,vm,cm.s,peso_p_antes,peso_depois,musc1,peso_individuo,peso_quel_total,peso_propodo,porcent1
F16,female,right,c,16.93,9.09,4.37,11.654,1485,1.485,0.006734007,6.734006734,0.0221,0.008433333,0.013666667,1.7723,0.1247,0.0507,0.070360548
F17,female,right,c,19.88,10.39,5.82,14.22266667,2120,2.120,0.004716981,4.716981132,0.040233333,0.014666667,0.025566667,3.2132,0.2028,0.0829,0.063114652
F18,female,right,c,21.37,10.51,5.13,14.42633333,1513,1.513,0.006609385,6.609385327,0.038766667,0.014033333,0.024733333,3.6632,0.1848,0.0768,0.050447696
F20,female,right,c,16.6,9.48,4.79,12.31666667,2070,2.070,0.004830918,4.830917874,0.0265,0.009166667,0.017333333,1.5862,0.1414,0.0603,0.089143866
F21,female,right,c,17.16,9.59,4.87,13.08333333,2381,2.381,0.004199916,4.199916002,0.027033333,0.011133333,0.0159,1.7726,0.1314,0.0553,0.074128399
F22,female,right,c,18.45,9.74,4.91,14.11533333,1870,1.870,0.005347594,5.347593583,0.033566667,0.0118,0.021766667,2.3384,0.1469,0.0572,0.062820732
F23,female,right,c,18.21,9.82,4.92,13.67066667,2156,2.156,0.004638219,4.638218924,0.0314,0.011833333,0.019566667,2.3082,0.1581,0.0691,0.068494931
F24,female,right,c,20.87,11.32,5.92,15.59133333,1917,1.917,0.005216484,5.21648409,0.050333333,0.014166667,0.036166667,3.1219,0.2425,0.1069,0.077677056
F25,female,right,c,16.99,9.69,5.31,12.175,1923,1.923,0.005200208,5.200208008,0.0255,0.008966667,0.016533333,1.9519,0.1601,0.0697,0.082022645
F26,female,right,c,19.34,10.73,5.38,13.95066667,2165,2.165,0.004618938,4.618937644,0.0337,0.014133333,0.019566667,2.4783,0.1736,0.0781,0.070048017
F27,female,right,c,17.06,8.91,4.96,12.289,1892,1.892,0.005285412,5.285412262,0.024233333,0.007866667,0.016366667,1.9923,0.1298,0.0544,0.065150831
F28,female,right,c,17.86,10.06,4.9,13.54866667,1945,1.945,0.005141388,5.141388175,0.033033333,0.0122,0.020833333,2.2883,0.1563,0.0635,0.068303981
